"","species_name","museum_name","location","state","country","n_records","sex","subspecies","notes","place","lat","lon"
"185","Cacatua sanguinea","ANWC","Derby","Western Australia","Australia",7,"-","","","Derby, Western Australia, Australia",-17.3031789,123.6282908
"186","Cacatua sanguinea","SAMA + SA White","Fitzroy River (NWA)","Queensland","Australia",1,"m","","","Fitzroy River (NWA), Queensland, Australia",NA,NA
"187","Cacatua sanguinea","SAMA + SA White","Adelaide River, NT","Northern Territory","Australia",1,"m","","","Adelaide River, NT, Northern Territory, Australia",-13.2387657,131.1070072
"188","Cacatua sanguinea","SAMA + SA White","Groote Eylandt","Northern Territory","Australia",2,"m","","","Groote Eylandt, Northern Territory, Australia",-13.9805252,136.586880058089
"189","Cacatua sanguinea","SAMA + SA White","Anna Creek","South Australia","Australia",1,"m","","","Anna Creek, South Australia, Australia",-28.76246055,136.02344170399
"190","Cacatua sanguinea","SAMA + SA White","Moolooloo","South Australia","Australia",1,"m","","","Moolooloo, South Australia, Australia",-31.00842065,138.564730890038
"191","Cacatua sanguinea","SAMA + SA White","Billa Kalina Station","South Australia","Australia",1,"m","","","Billa Kalina Station, South Australia, Australia",-30.0047584,136.0442054
"192","Cacatua sanguinea","SAMA + SA White","N of North Flinders Ranges","South Australia","Australia",1,"m","","","N of North Flinders Ranges, South Australia, Australia",NA,NA
"193","Cacatua sanguinea","SAMA + SA White","S. Quorn","South Australia","Australia",1,"m","","","S. Quorn, South Australia, Australia",-32.5174206,137.8425607
"194","Cacatua sanguinea","SAMA + SA White","Melrose","South Australia","Australia",2,"m","","","Melrose, South Australia, Australia",-32.8265904,138.1875684
"195","Cacatua sanguinea","SAMA + SA White","Crystal Brook","South Australia","Australia",3,"m","","","Crystal Brook, South Australia, Australia",-33.3518409,138.2067781
"196","Cacatua sanguinea","SAMA + SA White","Koolunga","South Australia","Australia",4,"m","","","Koolunga, South Australia, Australia",-33.586735,138.333276
"197","Cacatua sanguinea","SAMA + SA White","One Tree Hill","South Australia","Australia",1,"m","","","One Tree Hill, South Australia, Australia",-32.58278,139.18521
"198","Cacatua sanguinea","SAMA + SA White","Meda","Western Australia","Australia",1,"f","","","Meda, Western Australia, Australia",-17.2690235,124.005678517136
"199","Cacatua sanguinea","SAMA + SA White","Adelaide River, NT","Northern Territory","Australia",1,"f","","","Adelaide River, NT, Northern Territory, Australia",-13.2387657,131.1070072
"200","Cacatua sanguinea","SAMA + SA White","Melville Island","Northern Territory","Australia",1,"f","","","Melville Island, Northern Territory, Australia",-11.55217955,130.972739862689
"201","Cacatua sanguinea","SAMA + SA White","40mi SW Innamincka","South Australia","Australia",1,"f","","","40mi SW Innamincka, South Australia, Australia",NA,NA
"202","Cacatua sanguinea","SAMA + SA White","Mt Lyndhurst","South Australia","Australia",1,"f","","","Mt Lyndhurst, South Australia, Australia",-30.0192478,138.822456358022
"203","Cacatua sanguinea","SAMA + SA White","Moolooloo","South Australia","Australia",1,"f","","","Moolooloo, South Australia, Australia",-31.00842065,138.564730890038
"204","Cacatua sanguinea","SAMA + SA White","Beltana","South Australia","Australia",1,"f","","","Beltana, South Australia, Australia",-30.83131055,138.411241336749
"205","Cacatua sanguinea","SAMA + SA White","Owieandana. N Flinders","South Australia","Australia",1,"f","","sub, juv","Owieandana. N Flinders, South Australia, Australia",NA,NA
"206","Cacatua sanguinea","SAMA + SA White","Bunkers","South Australia","Australia",2,"f","","","Bunkers, South Australia, Australia",-33.67943755,137.011793784349
"207","Cacatua sanguinea","SAMA + SA White","S. Quorn","South Australia","Australia",1,"f","","","S. Quorn, South Australia, Australia",-32.5174206,137.8425607
"208","Cacatua sanguinea","SAMA + SA White","Georgetown","South Australia","Australia",1,"f","","","Georgetown, South Australia, Australia",-33.360812,138.3922639
"209","Cacatua sanguinea","SAMA + SA White","Melrose","South Australia","Australia",2,"f","","","Melrose, South Australia, Australia",-32.8265904,138.1875684
"210","Cacatua sanguinea","SAMA + SA White","Crystal Brook","South Australia","Australia",1,"f","","juv","Crystal Brook, South Australia, Australia",-33.3518409,138.2067781
"211","Cacatua sanguinea","SAMA + SA White","Koolunga","South Australia","Australia",2,"f","","","Koolunga, South Australia, Australia",-33.586735,138.333276
"212","Cacatua sanguinea","SAMA + SA White","Buckland Park","South Australia","Australia",1,"f","","","Buckland Park, South Australia, Australia",-34.6777748,138.5387677
"213","Cacatua sanguinea","SAMA + SA White","One Tree Hill","South Australia","Australia",1,"f","","","One Tree Hill, South Australia, Australia",-32.58278,139.18521
"214","Cacatua sanguinea","SAMA + SA White","Langhorne Creek","South Australia","Australia",1,"f","","","Langhorne Creek, South Australia, Australia",-35.295938,139.0364451
"215","Cacatua sanguinea","WAM","Eureka","Northern Territory","Australia",1,"m","","","Eureka, Northern Territory, Australia",-12.3864449,130.8893772
"216","Cacatua sanguinea","WAM","Coolibah Crossing Victoria River","Northern Territory","Australia",1,"m","","","Coolibah Crossing Victoria River, Northern Territory, Australia",NA,NA
"217","Cacatua sanguinea","WAM","Lighthouse Creek, Nicholson River","","Australia",1,"m","","","Lighthouse Creek, Nicholson River, , Australia",NA,NA
"218","Cacatua sanguinea","WAM","Ord Dam","Western Australia","Australia",1,"m","","","Ord Dam, Western Australia, Australia",-16.12135845,128.738617253073
"219","Cacatua sanguinea","WAM","Middle Fitzroy, -18'37', 125'45'","Western Australia","Australia",1,"m","","","Middle Fitzroy, -18'37', 125'45', Western Australia, Australia",NA,NA
"220","Cacatua sanguinea","WAM","Derby","Western Australia","Australia",1,"m","","","Derby, Western Australia, Australia",-17.3031789,123.6282908
"221","Cacatua sanguinea","WAM","Sandfire Rd House","Western Australia","Australia",3,"m","","coll. JR Ford","Sandfire Rd House, Western Australia, Australia",NA,NA
"222","Cacatua sanguinea","WAM","Coolibah Crossing Victoria Rd","Northern Territory","Australia",1,"f","","","Coolibah Crossing Victoria Rd, Northern Territory, Australia",NA,NA
"223","Cacatua sanguinea","WAM","Mt Hart Station","Western Australia","Australia",1,"f","","","Mt Hart Station, Western Australia, Australia",-16.8236945,124.918481
"224","Cacatua sanguinea","WAM","Lighthouse Creek, Nicholson River","","Australia",1,"f","","","Lighthouse Creek, Nicholson River, , Australia",NA,NA
"225","Cacatua sanguinea","WAM","Edgar Ranges","Western Australia","Australia",1,"f","","","Edgar Ranges, Western Australia, Australia",NA,NA
"226","Cacatua sanguinea","WAM","E Gardiner Ranges","Northern Territory","Australia",1,"f","","","E Gardiner Ranges, Northern Territory, Australia",NA,NA
"227","Cacatua sanguinea","WAM","Robe River Crossing on W Highway","Western Australia","Australia",1,"m","","","Robe River Crossing on W Highway, Western Australia, Australia",NA,NA
"228","Cacatua sanguinea","WAM","Dolphin Island, Dampier Archipeligo","Western Australia","Australia",4,"m","","","Dolphin Island, Dampier Archipeligo, Western Australia, Australia",NA,NA
"229","Cacatua sanguinea","WAM","Minilya River","Western Australia","Australia",1,"m","","","Minilya River, Western Australia, Australia",-23.8552074,115.1919722
"230","Cacatua sanguinea","WAM","Tom Price","Western Australia","Australia",1,"m","","","Tom Price, Western Australia, Australia",-22.6892972,117.7974898
"231","Cacatua sanguinea","WAM","Ashburton River","Western Australia","Australia",1,"m","","","Ashburton River, Western Australia, Australia",-23.1448488,116.5757668
"232","Cacatua sanguinea","WAM","Turee Creek","Western Australia","Australia",2,"m","","","Turee Creek, Western Australia, Australia",-22.7691083,118.1717277
"233","Cacatua sanguinea","WAM","Yardie Creek","Western Australia","Australia",2,"m","","","Yardie Creek, Western Australia, Australia",-22.2691809,113.9353035
"234","Cacatua sanguinea","WAM","Cardabia Creek","Western Australia","Australia",1,"m","","","Cardabia Creek, Western Australia, Australia",-24.6403553,113.8435434
"235","Cacatua sanguinea","WAM","Wooramel River","Western Australia","Australia",1,"m","","","Wooramel River, Western Australia, Australia",-25.8276055,115.5938476
"236","Cacatua sanguinea","WAM","Murchison River","Western Australia","Australia",1,"m","","","Murchison River, Western Australia, Australia",-25.8565603,118.5247984
"237","Cacatua sanguinea","WAM","Strawberry Bridge, Irwin River","Western Australia","Australia",2,"m","","","Strawberry Bridge, Irwin River, Western Australia, Australia",NA,NA
"238","Cacatua sanguinea","WAM","Morawa","Western Australia","Australia",1,"m","","","Morawa, Western Australia, Australia",-29.0333305,116.026729330352
"239","Cacatua sanguinea","WAM","Warri Warri Creek, Oakover River","Western Australia","Australia",2,"f","","","Warri Warri Creek, Oakover River, Western Australia, Australia",NA,NA
"240","Cacatua sanguinea","WAM","Millstream","Western Australia","Australia",1,"f","","","Millstream, Western Australia, Australia",-21.39409,117.427615654158
"241","Cacatua sanguinea","WAM","Turee Creek","Western Australia","Australia",1,"f","","","Turee Creek, Western Australia, Australia",-22.7691083,118.1717277
"242","Cacatua sanguinea","WAM","Tom Price","Western Australia","Australia",1,"f","","","Tom Price, Western Australia, Australia",-22.6892972,117.7974898
"243","Cacatua sanguinea","WAM","Tambrey ","Western Australia","Australia",1,"f","","","Tambrey , Western Australia, Australia",-20.7427815,116.80408605
"244","Cacatua sanguinea","WAM","Dolphin Island, Dampier Archipeligo","Western Australia","Australia",1,"f","","","Dolphin Island, Dampier Archipeligo, Western Australia, Australia",NA,NA
"245","Cacatua sanguinea","WAM","Minilya River","Western Australia","Australia",2,"f","","","Minilya River, Western Australia, Australia",-23.8552074,115.1919722
"246","Cacatua sanguinea","WAM","Wooramel River","Western Australia","Australia",2,"f","","","Wooramel River, Western Australia, Australia",-25.8276055,115.5938476
"247","Cacatua sanguinea","WAM","Murchison River","Western Australia","Australia",1,"f","","","Murchison River, Western Australia, Australia",-25.8565603,118.5247984
"248","Cacatua sanguinea","WAM","Strawberry Bridge, Irwin River","Western Australia","Australia",2,"f","","","Strawberry Bridge, Irwin River, Western Australia, Australia",NA,NA
"249","Cacatua sanguinea","WAM","Mingenew","Western Australia","Australia",2,"f","","","Mingenew, Western Australia, Australia",-29.143437,115.469052585434
"250","Cacatua sanguinea","WAM","Coorow","Western Australia","Australia",1,"f","","","Coorow, Western Australia, Australia",-29.97979365,115.618803182223
"251","Cacatua sanguinea","WAM","Three Springs","Western Australia","Australia",1,"f","","","Three Springs, Western Australia, Australia",-29.4913105,115.635687587099
"252","Cacatua sanguinea","WAM","Mingenew","Western Australia","Australia",4,"m","","","Mingenew, Western Australia, Australia",-29.143437,115.469052585434
"253","Cacatua sanguinea","WAM","Three Springs","Western Australia","Australia",6,"m","","3rd record: A17002, ? hybrid reddest bird in wheatbelt series, bill protruding forward","Three Springs, Western Australia, Australia",-29.4913105,115.635687587099
"254","Cacatua sanguinea","WAM","Coorow","Western Australia","Australia",1,"m","","","Coorow, Western Australia, Australia",-29.97979365,115.618803182223
"255","Cacatua sanguinea","WAM","Carnamah","Carnamah","Australia",1,"m","","","Carnamah, Carnamah, Australia",-29.6890002,115.8849304
"256","Cacatua sanguinea","WAM","Three Springs","Carnamah","Australia",3,"f","","1st record: A17049, hybrid? bill tip broken but projects rather forward","Three Springs, Carnamah, Australia",-29.5158875,115.9582955
"257","Cacatua sanguinea","ANWC","Little Murray River","Victoria","Australia",2,"f","","","Little Murray River, Victoria, Australia",-35.35135675,143.56713481427
