occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Ludwigia peruviana","Ludwigia peruviana (L.) H.Hara","5421024","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia peruviana","Ludwigia peruviana","(L.) H.Hara","5421024",
,"Camponotus intrepidus","Camponotus intrepidus (Kirby, 1819)","5034397","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus intrepidus","Camponotus intrepidus","(Kirby, 1819) ","5034397",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Nylanderia","Nylanderia Emery, 1906","4673740","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Nylanderia",,"Nylanderia","Emery, 1906","4673740",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Nylanderia","Nylanderia Emery, 1906","4673740","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Nylanderia",,"Nylanderia","Emery, 1906","4673740",
,"Nylanderia","Nylanderia Emery, 1906","4673740","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Nylanderia",,"Nylanderia","Emery, 1906","4673740",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Nassella trichotoma","Nassella trichotoma (Nees) Hack. & Arechav.","9613389","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Nassella","Nassella trichotoma","Nassella trichotoma","(Nees) Hack. & Arechav.","9613389",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Undaria pinnatifida","Undaria pinnatifida (Harv.) Suringar","5422556","EXACT","99","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","Undaria pinnatifida","(Harv.) Suringar","5422556",
,"Asterias amurensis","Asterias amurensis Lutken, 1871","5187508","EXACT","99","ACCEPTED","SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias amurensis","Asterias amurensis","Lutken, 1871","5187508",
,"Cytisus scoparius","Cytisus scoparius (L.) Link","5354656","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Cytisus scoparius","(L.) Link","5354656",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Fomes hemitephrus","Fomes hemitephrus (Berk.) Cooke","2549377","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Pilatoporus","Pilatoporus hemitephrus","Fomes hemitephrus","(Berk.) Cooke","2549377","10704482"
,"Aphis fabae","Aphis fabae Scopoli, 1763","2072167","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis fabae","Aphis fabae","Scopoli, 1763","2072167",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Fomes hemitephrus","Fomes hemitephrus (Berk.) Cooke","2549377","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Pilatoporus","Pilatoporus hemitephrus","Fomes hemitephrus","(Berk.) Cooke","2549377","10704482"
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus eastwoodi","Camponotus eastwoodi","5801314","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus eastwoodi","Camponotus eastwoodi",,"5801314",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Undaria pinnatifida","Undaria pinnatifida (Harv.) Suringar","5422556","EXACT","99","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","Undaria pinnatifida","(Harv.) Suringar","5422556",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Agrilus (Agrilus) hypoleucus","Agrilus hypoleucus Gory & Laporte, 1837","4729767","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","Agrilus hypoleucus","Agrilus hypoleucus","Gory & Laporte, 1837","4729767",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Opuntia","Opuntia Mill.","3084187","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia",,"Opuntia","Mill.","3084187",
,"Gleditsia triacanthos","Gleditsia triacanthos L.","2959443","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Gleditsia","Gleditsia triacanthos","Gleditsia triacanthos","L.","2959443",
,"Camponotus suffusus suffusus","Camponotus suffusus suffusus","5033849","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus suffusus","(Smith, 1858) ","5033849",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Salvinia natans","Salvinia natans (L.) All.","5274858","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","Salvinia","Salvinia natans","Salvinia natans","(L.) All.","5274858",
,"Cyprinus carpio","Cyprinus carpio Linnaeus, 1758","4286975","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","Cyprinus carpio","Linnaeus, 1758","4286975",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Coptotermes formosanus","Coptotermes formosanus Shiraki, 1909","2007383","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Coptotermes","Coptotermes formosanus","Coptotermes formosanus","Shiraki, 1909","2007383",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Pelmatolapia mariae","Pelmatolapia mariae (Boulenger, 1899)","9552432","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Pelmatolapia","Pelmatolapia mariae","Pelmatolapia mariae","(Boulenger, 1899) ","9552432",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Caulerpa taxifolia","Caulerpa taxifolia (M.Vahl) C.Agardh","2643172","EXACT","99","ACCEPTED","SPECIES","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa taxifolia","Caulerpa taxifolia","(M.Vahl) C.Agardh","2643172",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Gambusia affinis","Gambusia affinis (Baird & Girard, 1853)","2350580","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis","Gambusia affinis","(Baird & Girard, 1853) ","2350580",
,"Camponotus intrepidus","Camponotus intrepidus (Kirby, 1819)","5034397","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus intrepidus","Camponotus intrepidus","(Kirby, 1819) ","5034397",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Cyprinus carpio","Cyprinus carpio Linnaeus, 1758","4286975","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","Cyprinus carpio","Linnaeus, 1758","4286975",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Solanum viarum","Solanum viarum Dunal","2931914","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum viarum","Solanum viarum","Dunal","2931914",
,"Ludwigia peruviana","Ludwigia peruviana (L.) H.Hara","5421024","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia peruviana","Ludwigia peruviana","(L.) H.Hara","5421024",
,"Sabella spallanzanii","Sabella spallanzanii (Gmelin, 1791)","2328603","EXACT","97","ACCEPTED","SPECIES","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","Sabella spallanzanii","(Gmelin, 1791) ","2328603",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Vachellia bidwillii","Vachellia bidwillii (Benth.) Kodela","3974810","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia bidwillii","Vachellia bidwillii","(Benth.) Kodela","3974810",
,"Uromyces viciae-fabae","Uromyces viciae-fabae (Pers.) J.Schröt.","3381094","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Uromyces","Uromyces viciae-fabae","Uromyces viciae-fabae","(Pers.) J.Schröt.","3381094",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Ludwigia peruviana","Ludwigia peruviana (L.) H.Hara","5421024","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia peruviana","Ludwigia peruviana","(L.) H.Hara","5421024",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus suffusus bendigensis","Camponotus suffusus bendigensis","7973005","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus bendigensis",,"7973005",
,"Agrilus","Agrilus Curtis, 1825","1049531","EDITED","99","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus",,"Agrilus",,"1049531",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Undaria pinnatifida","Undaria pinnatifida (Harv.) Suringar","5422556","EXACT","99","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","Undaria pinnatifida","(Harv.) Suringar","5422556",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Agrilus","Agrilus Curtis, 1825","1049531","EDITED","99","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus",,"Agrilus",,"1049531",
,"Agrilus","Agrilus Curtis, 1825","1049531","EDITED","99","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus",,"Agrilus",,"1049531",
,"Harmonia axyridis","Harmonia axyridis (Pallas, 1773)","4989904","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","Harmonia axyridis","(Pallas, 1773) ","4989904",
,"Anthoxanthum odoratum","Anthoxanthum odoratum L.","2705975","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum","Anthoxanthum odoratum","L.","2705975",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Agrilus (Agrilus) hypoleucus","Agrilus hypoleucus Gory & Laporte, 1837","4729767","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","Agrilus hypoleucus","Agrilus hypoleucus","Gory & Laporte, 1837","4729767",
,"Camponotus suffusus bendigensis","Camponotus suffusus bendigensis","7973005","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus bendigensis",,"7973005",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Cyprinus carpio","Cyprinus carpio Linnaeus, 1758","4286975","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","Cyprinus carpio","Linnaeus, 1758","4286975",
,"Agrilus (Agrilus) hypoleucus","Agrilus hypoleucus Gory & Laporte, 1837","4729767","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","Agrilus hypoleucus","Agrilus hypoleucus","Gory & Laporte, 1837","4729767",
